Subject_name,100,99,98,97,96,95,94,93,92,91,90,89,88,87,86,85,84,83,82,81,80,79,78,77,76,75,74,73,72,71,70,69,68,67,66,65,64,63,62,61,60,59,58,57,56,55,54,53,52,51,50,49,48,47,46,45,44,43,42,41,40,39,38,37,36,35,34,33,32,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0
Dance,78.94,77.99,77.02,76.02,74.99,73.93,72.84,71.73,70.58,69.41,68.21,66.99,65.75,64.48,63.2,61.89,60.57,59.23,57.88,56.51,55.14,53.76,52.37,50.98,49.58,48.19,46.8,45.42,44.04,42.67,41.31,39.97,38.64,37.33,36.03,34.76,33.5,32.27,31.07,29.89,28.73,27.6,26.5,25.43,24.39,23.38,22.39,21.44,20.52,19.62,18.76,17.92,17.12,16.34,15.59,14.87,14.18,13.52,12.88,12.27,11.68,11.12,10.58,10.06,9.57,9.1,8.65,8.22,7.81,7.41,7.04,6.68,6.34,6.02,5.71,5.42,5.14,4.88,4.62,4.38,4.16,3.94,3.74,3.54,3.35,3.18,3.01,2.85,2.7,2.56,2.42,2.3,2.17,2.06,1.95,1.85,1.75,1.65,1.57,1.48,1.4
Design,88.02,87.49,86.94,86.38,85.79,85.18,84.56,83.9,83.23,82.54,81.82,81.08,80.32,79.53,78.72,77.89,77.04,76.16,75.26,74.33,73.39,72.42,71.43,70.42,69.39,68.34,67.27,66.18,65.08,63.96,62.82,61.67,60.51,59.33,58.14,56.95,55.74,54.53,53.31,52.09,50.87,49.64,48.42,47.2,45.98,44.77,43.56,42.36,41.17,39.98,38.82,37.66,36.52,35.39,34.28,33.18,32.1,31.05,30.01,28.99,27.99,27.01,26.06,25.13,24.22,23.33,22.46,21.62,20.8,20.01,19.24,18.49,17.76,17.06,16.37,15.71,15.08,14.46,13.86,13.29,12.74,12.2,11.69,11.19,10.71,10.25,9.81,9.39,8.98,8.59,8.21,7.85,7.5,7.17,6.85,6.54,6.25,5.97,5.7,5.44,5.19
Digital Solutions,94.84,94.51,94.16,93.79,93.4,92.99,92.55,92.09,91.6,91.09,90.54,89.97,89.36,88.73,88.06,87.36,86.62,85.84,85.03,84.18,83.3,82.37,81.4,80.39,79.34,78.25,77.12,75.95,74.74,73.49,72.2,70.87,69.51,68.11,66.68,65.21,63.72,62.2,60.65,59.08,57.5,55.9,54.28,52.66,51.03,49.4,47.77,46.15,44.53,42.93,41.34,39.76,38.21,36.68,35.18,33.71,32.27,30.86,29.49,28.15,26.85,25.59,24.36,23.18,22.04,20.94,19.88,18.86,17.88,16.95,16.05,15.19,14.37,13.58,12.84,12.12,11.45,10.8,10.19,9.61,9.06,8.53,8.04,7.57,7.12,6.7,6.31,5.93,5.58,5.25,4.93,4.63,4.35,4.09,3.84,3.61,3.39,3.18,2.99,2.8,2.63
Drama,87.1,86.39,85.64,84.86,84.04,83.19,82.3,81.38,80.42,79.42,78.39,77.32,76.21,75.06,73.88,72.66,71.41,70.13,68.81,67.46,66.08,64.68,63.24,61.79,60.31,58.81,57.3,55.77,54.23,52.69,51.14,49.58,48.03,46.48,44.94,43.41,41.89,40.38,38.9,37.43,35.99,34.57,33.18,31.81,30.48,29.18,27.91,26.68,25.48,24.32,23.19,22.1,21.05,20.04,19.06,18.12,17.22,16.35,15.52,14.72,13.96,13.23,12.53,11.86,11.23,10.62,10.05,9.5,8.98,8.48,8.01,7.57,7.14,6.74,6.36,6,5.66,5.34,5.03,4.74,4.47,4.21,3.97,3.74,3.52,3.32,3.12,2.94,2.77,2.61,2.45,2.31,2.17,2.04,1.92,1.81,1.7,1.6,1.51,1.42,1.33
Earth and Environmental Science,93.13,92.54,91.91,91.24,90.51,89.72,88.89,87.99,87.03,86,84.91,83.75,82.52,81.21,79.83,78.38,76.86,75.26,73.58,71.84,70.03,68.15,66.21,64.22,62.18,60.09,57.96,55.81,53.63,51.44,49.24,47.05,44.87,42.7,40.57,38.47,36.41,34.4,32.44,30.55,28.72,26.95,25.26,23.63,22.08,20.61,19.21,17.88,16.63,15.44,14.33,13.28,12.3,11.39,10.53,9.73,8.99,8.29,7.65,7.05,6.49,5.98,5.51,5.07,4.66,4.28,3.94,3.62,3.32,3.05,2.8,2.57,2.36,2.17,1.99,1.82,1.67,1.53,1.41,1.29,1.18,1.08,0.99,0.91,0.84,0.77,0.7,0.64,0.59,0.54,0.49,0.45,0.42,0.38,0.35,0.32,0.29,0.27,0.25,0.22,0.21
Economics,97.75,97.55,97.34,97.12,96.87,96.61,96.32,96.01,95.68,95.31,94.92,94.5,94.05,93.56,93.03,92.47,91.86,91.21,90.51,89.77,88.97,88.11,87.2,86.24,85.21,84.12,82.96,81.74,80.45,79.09,77.67,76.17,74.62,72.99,71.3,69.55,67.74,65.87,63.96,62,60,57.96,55.9,53.82,51.72,49.62,47.52,45.43,43.36,41.3,39.28,37.29,35.35,33.45,31.61,29.82,28.09,26.42,24.82,23.28,21.81,20.41,19.08,17.82,16.62,15.49,14.42,13.41,12.46,11.57,10.74,9.96,9.23,8.55,7.92,7.32,6.77,6.26,5.78,5.34,4.93,4.55,4.2,3.88,3.57,3.3,3.04,2.8,2.58,2.38,2.19,2.02,1.86,1.71,1.57,1.45,1.33,1.23,1.13,1.04,0.96
Engineering,97.71,97.53,97.33,97.12,96.89,96.64,96.38,96.1,95.79,95.46,95.11,94.73,94.33,93.89,93.42,92.93,92.39,91.82,91.21,90.56,89.87,89.13,88.35,87.52,86.63,85.7,84.71,83.67,82.56,81.41,80.19,78.91,77.58,76.18,74.73,73.22,71.65,70.03,68.36,66.64,64.87,63.06,61.21,59.34,57.43,55.5,53.55,51.6,49.64,47.68,45.72,43.78,41.86,39.96,38.1,36.26,34.47,32.72,31.02,29.36,27.76,26.21,24.73,23.29,21.92,20.61,19.35,18.16,17.02,15.94,14.92,13.95,13.03,12.17,11.35,10.59,9.87,9.19,8.56,7.96,7.41,6.89,6.4,5.94,5.52,5.13,4.76,4.41,4.09,3.8,3.52,3.26,3.02,2.8,2.6,2.41,2.23,2.06,1.91,1.77,1.64
English,94.46,94.1,93.72,93.32,92.9,92.45,91.97,91.47,90.94,90.38,89.79,89.17,88.51,87.82,87.09,86.33,85.53,84.69,83.81,82.9,81.94,80.94,79.89,78.81,77.68,76.52,75.31,74.05,72.76,71.43,70.06,68.65,67.21,65.74,64.23,62.7,61.14,59.55,57.95,56.33,54.69,53.05,51.4,49.74,48.09,46.44,44.8,43.17,41.55,39.95,38.38,36.82,35.3,33.8,32.34,30.91,29.51,28.15,26.83,25.55,24.32,23.12,21.96,20.85,19.78,18.75,17.76,16.82,15.91,15.04,14.22,13.43,12.68,11.96,11.28,10.64,10.03,9.44,8.89,8.37,7.88,7.41,6.97,6.55,6.16,5.79,5.44,5.11,4.79,4.5,4.22,3.96,3.72,3.49,3.27,3.07,2.88,2.7,2.53,2.37,2.22
English and Literature Extension,96.11,95.81,95.5,95.16,94.8,94.42,94.01,93.57,93.1,92.59,92.06,91.49,90.88,90.24,89.55,88.82,88.05,87.23,86.36,85.45,84.49,83.47,82.4,81.28,80.1,78.87,77.58,76.24,74.84,73.39,71.89,70.34,68.74,67.09,65.4,63.67,61.91,60.11,58.29,56.44,54.57,52.69,50.81,48.92,47.03,45.15,43.29,41.44,39.62,37.83,36.07,34.35,32.66,31.02,29.43,27.88,26.39,24.95,23.56,22.23,20.95,19.72,18.55,17.44,16.38,15.37,14.41,13.5,12.65,11.83,11.07,10.35,9.67,9.03,8.42,7.86,7.33,6.83,6.37,5.93,5.52,5.14,4.79,4.45,4.14,3.85,3.58,3.33,3.09,2.88,2.67,2.48,2.31,2.14,1.99,1.85,1.71,1.59,1.48,1.37,1.27
English as an Additional Language,96.67,96.4,96.1,95.78,95.44,95.07,94.67,94.24,93.78,93.28,92.75,92.18,91.57,90.91,90.21,89.47,88.67,87.82,86.91,85.95,84.93,83.85,82.71,81.51,80.24,78.91,77.51,76.05,74.53,72.94,71.29,69.59,67.82,66.01,64.15,62.24,60.3,58.32,56.31,54.29,52.25,50.2,48.15,46.11,44.08,42.07,40.09,38.14,36.22,34.35,32.53,30.75,29.04,27.38,25.78,24.24,22.77,21.36,20.01,18.73,17.52,16.36,15.27,14.24,13.27,12.35,11.49,10.69,9.93,9.22,8.56,7.94,7.36,6.82,6.32,5.85,5.41,5.01,4.63,4.28,3.96,3.66,3.38,3.12,2.88,2.66,2.46,2.27,2.09,1.93,1.78,1.65,1.52,1.4,1.29,1.19,1.1,1.01,0.93,0.86,0.79
